,t,u0,u1,y
6781,40913.0,0.0,2.199012345679012e-08,
6782,40921.0,0.0,2.1980246913580248e-08,
6783,40925.0,0.0,2.197530864197531e-08,
6784,40931.0,0.0,2.19679012345679e-08,
6785,40937.0,0.0,2.1960493827160493e-08,
6786,40943.0,0.0,2.195308641975309e-08,
6787,40949.0,0.0,2.1945679012345678e-08,
6788,40955.0,0.0,2.193827160493827e-08,
6789,40961.0,0.0,2.1930864197530865e-08,
6790,40967.0,0.0,2.1923456790123457e-08,
6791,40973.0,0.0,2.191604938271605e-08,
6792,40979.0,0.0,2.1908641975308642e-08,
6793,40985.0,0.0,2.1901234567901237e-08,
6794,40991.0,0.0,2.1893827160493826e-08,
6795,40997.0,0.0,2.1886419753086418e-08,
6796,41003.0,0.0,2.1879012345679014e-08,
6797,41009.0,0.0,2.1871604938271606e-08,
6798,41015.0,0.0,2.1864197530864198e-08,
6799,41021.0,0.0,2.1856790123456787e-08,
6800,41027.0,0.0,2.1849382716049382e-08,
6801,41035.0,0.0,2.1839506172839505e-08,
6802,41039.0,0.0,2.1834567901234567e-08,
6803,41045.0,0.0,2.1827160493827162e-08,
6804,41051.0,0.0,2.1819753086419754e-08,
6805,41057.0,0.0,2.1812345679012346e-08,
6806,41063.0,0.0,2.1804938271604935e-08,
6807,41069.0,0.0,2.179753086419753e-08,
6808,41075.0,0.0,2.1790123456790123e-08,
6809,41081.0,0.0,2.1782716049382715e-08,
6810,41087.0,0.0,2.177530864197531e-08,
6811,41093.0,0.0,2.1767901234567903e-08,
6812,41099.0,0.0,2.176049382716049e-08,
6813,41105.0,0.0,2.1753086419753087e-08,
6814,41111.0,0.0,2.174567901234568e-08,
6815,41117.0,0.0,2.173827160493827e-08,
6816,41123.0,0.0,2.1730864197530867e-08,
6817,41129.0,0.0,2.172345679012346e-08,
6818,41139.0,0.0,2.171111111111111e-08,
6819,41147.0,0.0,2.1701234567901235e-08,
6820,41153.0,0.0,2.1693827160493828e-08,
6821,41159.0,0.0,2.168641975308642e-08,
6822,41165.0,0.0,2.1679012345679015e-08,
6823,41171.0,0.0,2.1671604938271607e-08,
6824,41177.0,0.0,2.1664197530864196e-08,
6825,41183.0,0.0,2.1656790123456788e-08,
6826,41189.0,0.0,2.1649382716049384e-08,
6827,41195.0,0.0,2.1641975308641976e-08,
6828,41201.0,0.0,2.1634567901234568e-08,
6829,41207.0,0.0,2.1627160493827164e-08,
6830,41213.0,0.0,2.1619753086419752e-08,
6831,41219.0,0.0,2.1612345679012345e-08,
6832,41225.0,0.0,2.1604938271604937e-08,
6833,41233.0,0.0,2.1595061728395063e-08,
6834,41239.0,0.0,2.1587654320987655e-08,
6835,41243.0,0.0,2.1582716049382713e-08,
6836,41249.0,0.0,2.157530864197531e-08,
6837,41255.0,0.0,2.15679012345679e-08,
6838,41261.0,0.0,2.1560493827160493e-08,
6839,41267.0,0.0,2.1553086419753085e-08,
6840,41273.0,0.0,2.154567901234568e-08,
6841,41279.0,0.0,2.1538271604938273e-08,
6842,41285.0,0.0,2.1530864197530862e-08,
6843,41291.0,0.0,2.1523456790123457e-08,
6844,41297.0,0.0,2.151604938271605e-08,
6845,41303.0,0.0,2.150864197530864e-08,
6846,41309.0,0.0,2.1501234567901234e-08,
6847,41315.0,0.0,2.149382716049383e-08,
6848,41321.0,0.0,2.1486419753086418e-08,
6849,41327.0,0.0,2.147901234567901e-08,
6850,41333.0,0.0,2.1471604938271606e-08,
6851,41339.0,0.0,2.1464197530864198e-08,
6852,41345.0,0.0,2.145679012345679e-08,
6853,41351.0,0.0,2.1449382716049385e-08,
6854,41357.0,0.0,2.1441975308641974e-08,
6855,41363.0,0.0,2.1434567901234566e-08,94.0
6856,41371.0,0.0,2.1424691358024693e-08,
6857,41377.0,0.0,2.1417283950617285e-08,
6858,41381.0,0.0,2.1412345679012346e-08,
6859,41387.0,0.0,2.1404938271604938e-08,
